room ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
101 ,free ,Physics ,EEE ,free ,recess ,Maths ,EME ,EEE ,EEE
102 ,FCPIT ,Chemistery ,Maths ,FCPIT ,recess ,FCPIT ,free ,ED ,ED
103 ,ED ,free ,English ,English ,recess ,English ,FCPIT ,EME ,EME
104 ,free ,English ,Physics ,EME ,recess ,EME ,ED ,English ,English
105 ,EEE ,EEE ,Chemistery ,free ,recess ,free ,free ,Physics ,free 
201 ,Maths ,ED ,free ,FCPIT ,recess ,FCPIT ,EEE ,Chemistery ,Chemistery
202 ,Physics ,EME ,EEE ,ED ,recess ,ED ,Maths ,free ,Physics
203 ,Chemistery ,English ,ED ,free ,recess ,free ,Physics ,Maths ,Maths
204 ,free ,free ,EME ,EEE ,recess ,EEE ,Chemistery ,FCPIT ,FCPIT
205 ,English ,Chemistery ,English ,Maths ,recess ,Maths ,free ,English ,EME
301 ,EEE ,Physics ,free ,Physics ,recess ,Physics ,English ,EME ,free 
302 ,ED ,Maths ,Chemistery ,Chemistery ,recess ,Chemistery ,EEE ,free ,FCPIT
303 ,EME ,FCPIT ,Physics ,free ,recess ,free ,ED ,FCPIT ,ED
304 ,English ,EME ,Maths ,EEE ,recess ,EEE ,EME ,ED ,free 
305 ,free ,free ,FCPIT ,ED ,recess ,Chemistery ,English ,free ,EEE
401 ,Chemistery ,FCPIT ,EME ,EME ,recess ,EME ,free ,EEE ,Maths
402 ,Physics ,ED ,free ,English ,recess ,English ,Chemistery ,Maths ,Physics
403 ,Maths ,free ,FCPIT ,Maths ,recess ,free ,Physics ,Physics ,Chemistery
404 ,FCPIT ,EEE ,ED ,Chemistery ,recess ,ED ,Maths ,Chemistery ,free 
405 ,EME ,Maths ,free ,Physics ,recess ,Physics ,FCPIT ,free ,English
