room ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
101 ,English ,English ,EME ,English ,recess ,FCPIT ,EME ,ED ,free
102 ,Physics ,EME ,English ,EME ,recess ,ED ,English ,free ,English
103 ,Chemistery ,free ,Physics ,free ,recess ,free ,free ,EEE ,EEE
104 ,free ,FCPIT ,Chemistery ,FCPIT ,recess ,EEE ,Chemistery ,Maths ,ED
105 ,EEE ,ED ,free ,ED ,recess ,Maths ,Physics ,Physics ,EME
201 ,ED ,free ,Maths ,free ,recess ,Physics ,Maths ,Chemistery ,English
202 ,EME ,EEE ,FCPIT ,EEE ,recess ,Chemistery ,FCPIT ,free ,free
203 ,English ,Maths ,English ,Maths ,recess ,free ,EME ,English ,Chemistery
204 ,free ,Physics ,EME ,Physics ,recess ,English ,free ,EEE ,Physics
205 ,Chemistery ,Chemistery ,free ,Chemistery ,recess ,EEE ,FCPIT ,ED ,Maths
301 ,Physics ,free ,FCPIT ,free ,recess ,ED ,ED ,EME ,FCPIT
302 ,Maths ,EEE ,ED ,EEE ,recess ,EME ,free ,English ,EME
303 ,FCPIT ,ED ,free ,ED ,recess ,English ,EEE ,free ,free
304 ,EME ,EME ,Chemistery ,EME ,recess ,free ,Maths ,Chemistery ,FCPIT
305 ,free ,English ,Maths ,English ,recess ,Chemistery ,Physics ,Physics ,ED
401 ,FCPIT ,Maths ,Physics ,free ,recess ,Physics ,Chemistery ,Maths ,free
402 ,ED ,Chemistery ,EEE ,Chemistery ,recess ,Maths ,free ,FCPIT ,EEE
403 ,free ,Physics ,free ,Physics ,recess ,FCPIT ,English ,EME ,Maths
404 ,EEE ,free ,EEE ,Maths ,recess ,EME ,EEE ,free ,Physics
405 ,Maths ,FCPIT ,ED ,FCPIT ,recess ,free ,ED ,FCPIT ,Chemistery
