room ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
101 ,EME ,Maths ,EEE ,ED ,recess ,EME ,EEE ,free ,English
102 ,free ,FCPIT ,ED ,free ,recess ,English ,Chemistery ,EEE ,free 
103 ,FCPIT ,EME ,EME ,EEE ,recess ,free ,EME ,Maths ,Chemistery
104 ,ED ,free ,English ,Maths ,recess ,Chemistery ,English ,Physics ,Physics
105 ,free ,FCPIT ,Maths ,Physics ,recess ,Physics ,free ,Chemistery ,Maths
201 ,EEE ,ED ,Chemistery ,Chemistery ,recess ,Maths ,ED ,free ,FCPIT
202 ,Maths ,free ,Physics ,free ,recess ,FCPIT ,Physics ,English ,EME
203 ,Physics ,EEE ,free ,EEE ,recess ,EME ,Maths ,EEE ,free 
204 ,Chemistery ,Maths ,FCPIT ,ED ,recess ,free ,FCPIT ,ED ,FCPIT
205 ,free ,English ,English ,EME ,recess ,FCPIT ,English ,EME ,ED
301 ,English ,Physics ,EME ,English ,recess ,ED ,EME ,English ,free 
302 ,EEE ,Chemistery ,free ,Physics ,recess ,free ,free ,free ,EEE
303 ,ED ,free ,FCPIT ,Chemistery ,recess ,EEE ,FCPIT ,Chemistery ,Maths
304 ,EME ,EEE ,ED ,free ,recess ,Maths ,ED ,Physics ,Physics
305 ,English ,ED ,free ,Maths ,recess ,Physics ,free ,Maths ,Chemistery
401 ,free ,EME ,EEE ,FCPIT ,recess ,Chemistery ,EEE ,FCPIT ,free 
402 ,Chemistery ,English ,Maths ,English ,recess ,free ,Maths ,EME ,English
403 ,Physics ,free ,Physics ,EME ,recess ,English ,Physics ,free ,EEE
404 ,Maths ,Chemistery ,Chemistery ,free ,recess ,EEE ,Chemistery ,FCPIT ,ED
405 ,FCPIT ,Physics ,free ,FCPIT ,recess ,ED ,free ,ED ,EME
