room ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
101 ,free ,Physics ,free ,free ,recess ,free ,EEE ,EEE ,Chemistery
102 ,FCPIT ,Chemistery ,FCPIT ,EEE ,recess ,Chemistery ,Maths ,ED ,free 
103 ,ED ,free ,ED ,Maths ,recess ,Physics ,Physics ,EME ,EEE
104 ,free ,Maths ,free ,Physics ,recess ,Maths ,Chemistery ,English ,ED
105 ,EEE ,FCPIT ,EEE ,Chemistery ,recess ,FCPIT ,free ,free ,EME
201 ,Maths ,English ,Maths ,free ,recess ,EME ,English ,Chemistery ,English
202 ,Physics ,EME ,Physics ,English ,recess ,free ,EEE ,Physics ,free 
203 ,Chemistery ,free ,Chemistery ,EEE ,recess ,FCPIT ,ED ,Maths ,Chemistery
204 ,free ,FCPIT ,free ,ED ,recess ,ED ,EME ,FCPIT ,Physics
205 ,EEE ,ED ,EEE ,EME ,recess ,free ,English ,EME ,Maths
301 ,ED ,free ,Chemistery ,English ,recess ,EEE ,free ,free ,FCPIT
302 ,EME ,EEE ,EME ,free ,recess ,Maths ,Chemistery ,FCPIT ,EME
303 ,English ,Maths ,Chemistery ,Chemistery ,recess ,Physics ,Physics ,ED ,free 
304 ,Maths ,Physics ,free ,Physics ,recess ,Chemistery ,Maths ,free ,FCPIT
305 ,Chemistery ,Chemistery ,ED ,Maths ,recess ,free ,FCPIT ,EEE ,ED
401 ,Physics ,free ,Physics ,FCPIT ,recess ,English ,EME ,Maths ,free 
402 ,free ,EEE ,Maths ,EME ,recess ,EEE ,free ,Physics ,EEE
403 ,FCPIT ,ED ,FCPIT ,free ,recess ,ED ,FCPIT ,Chemistery ,Maths
404 ,English ,EME ,English ,FCPIT ,recess ,EME ,ED ,free ,English
405 ,EME ,English ,EME ,ED ,recess ,English ,free ,English ,Physics
